state,Q1,Q2,Q3
Alabama,1364.7884615384614,1430.3104395604396,1372.0961538461538
Alaska,1601.235294117647,1797.1470588235295,2647.5049019607845
Arizona,1431.95,1485.4136363636364,1524.1909090909091
Arkansas,1026.514064697609,1065.746835443038,1014.7433192686357
California,1813.96644295302,1696.4574083634486,1733.826019617966
Colorado,1810.4601139601139,1693.9116809116808,1884.9088319088319
Connecticut,1961.4207650273224,1814.792349726776,1803.72131147541
Delaware,1672.3111111111111,1794.5111111111112,1750.111111111111
Florida,1608.1160949868074,1675.6596306068602,1624.089709762533
Georgia,1342.5070671378091,1289.2367491166078,1300.0017667844522
Hawaii,1717.3880597014925,1596.8955223880596,1692.5820895522388
Idaho,1587.4113475177305,1458.2255319148935,1547.3985815602837
Illinois,1387.6206896551723,1387.8936781609195,1320.4310344827586
Indiana,1232.3826086956522,1207.908695652174,1258.825
Iowa,1287.0905172413793,1335.1939655172414,1285.7672413793102
Kansas,1275.593589009731,1215.1551230681168,1257.8362907842015
Kentucky,1205.2582417582419,1191.7225274725274,1198.4725274725274
Louisiana,1211.2511144130758,1186.3075780089152,1214.4903417533433
Maine,1485.2115812917596,1389.7216035634744,1468.273942093541
Maryland,2013.7582938388625,1929.8767772511849,2021.601895734597
Massachusetts,1931.753125,1895.8375,1917.278125
Michigan,1532.0,1409.947565543071,1405.1310861423221
Minnesota,1366.4435643564357,1394.759405940594,1365.90099009901
Mississippi,1053.6855036855036,1044.02457002457,1005.6289926289926
Missouri,1181.2782122905028,1204.1418994413407,1184.7240223463687
Montana,1625.5754310344828,1649.5775862068965,1551.3103448275863
Nebraska,1394.4794520547946,1360.2511415525114,1319.835616438356
Nevada,1724.8495575221239,1589.9778761061948,1660.0929203539822
New Hampshire,1745.467336683417,1747.5477386934674,1734.4874371859296
New Jersey,1897.632530120482,1666.078313253012,1689.6746987951808
New Mexico,1041.9872476089267,1137.950053134963,1100.4378320935175
New York,1649.1731707317074,1662.6,1627.1414634146342
North Carolina,1247.501239157373,1292.2366790582405,1252.3506815365552
North Dakota,1368.5067437379575,1412.5664739884394,1364.3410404624278
Ohio,1271.0315315315315,1267.4172297297298,1242.1418918918919
Oklahoma,1210.3346007604562,1216.8954372623575,1170.2509505703422
Oregon,1408.0839064649244,1456.6066024759284,1421.6946354883082
Pennsylvania,1479.8850806451612,1366.0120967741937,1394.1451612903227
Puerto Rico,862.3916083916084,915.3286713286714,876.7342657342657
Rhode Island,1801.0185185185185,1587.851851851852,1618.9444444444443
South Carolina,1383.7911392405063,1442.7721518987341,1426.246835443038
South Dakota,1458.5693950177936,1386.2277580071175,1390.5836298932384
Tennessee,1291.6596119929454,1243.7865961199295,1298.6137566137565
Texas,1333.0282258064517,1341.1498655913979,1335.665994623656
U.S.,1740.75,1676.25,1712.5
Utah,1393.4542857142858,1388.5914285714287,1316.1257142857144
Vermont,1659.992700729927,1724.4233576642337,1695.8321167883212
Virgin Islands,1150.75,1058.25,1044.25
Virginia,1378.5533546325878,1332.1948881789137,1410.0255591054313
Washington,1806.955078125,1811.0859375,1817.796875
West Virginia,1109.0782422293676,1156.037513397642,1141.3290460878886
Wisconsin,1340.271523178808,1312.4238410596026,1268.609271523179
Wyoming,1564.6346153846155,1617.1923076923076,1682.3461538461538
